-0.01,0.055,-0.135,0,0,0.005
-0.01,0.055,-0.13,0,-0.005,0
-0.01,0.05,-0.13,-0.005,0,0
-0.015,0.05,-0.13,0,-0.005,0
-0.015,0.045,-0.13,-0.005,0,0
-0.02,0.045,-0.13,0,0,0.005
-0.02,0.045,-0.125,0,-0.005,0
-0.02,0.04,-0.125,-0.005,0,0
-0.025,0.04,-0.125,0,-0.005,0
-0.025,0.035,-0.125,0,0,0.005
-0.025,0.035,-0.12,-0.005,0,0
-0.03,0.035,-0.12,0,0,-0.005
-0.03,0.035,-0.125,0.005,0,0
-0.025,0.035,-0.125,0.005,0,0
-0.02,0.035,-0.125,0.005,0,0
-0.015,0.035,-0.125,0.005,0,0
-0.01,0.035,-0.125,0,0,0.005
-0.01,0.035,-0.12,0.005,0,0
-0.005,0.035,-0.12,0,0.005,0
-0.005,0.04,-0.12,0.005,0,0
0,0.04,-0.12,0,0.005,0
0,0.045,-0.12,0,0.005,0
0,0.05,-0.12,0.005,0,0
0.005,0.05,-0.12,0.005,0,0
0.01,0.05,-0.12,0,0.005,0
0.01,0.055,-0.12,0,0,-0.005
0.01,0.055,-0.125,-0.005,0,0
0.005,0.055,-0.125,0,0,0.005
